income,loan_amount,debt_ratio,credit_score,years_employed,default
45900.0,15500.0,0.11,586.0,3.6,0
87100.0,34400.0,0.345,656.0,2.5,1
66300.0,11300.0,0.163,703.0,4.9,0
64000.0,23800.0,0.046,619.0,4.6,0
50400.0,22500.0,0.186,,3.2,0
59500.0,27800.0,0.084,623.0,9.1,1
30800.0,6500.0,0.015,644.0,9.3,0
41700.0,13400.0,0.363,655.0,7.2,0
70400.0,17500.0,0.249,788.0,11.4,0
29400.0,8600.0,0.176,724.0,6.4,1
83400.0,23500.0,0.12,700.0,6.9,0
33600.0,19200.0,0.138,623.0,5.5,0
80800.0,8600.0,0.38,617.0,4.0,0
46100.0,26500.0,0.164,680.0,7.2,0
81400.0,9500.0,0.116,770.0,1.8,0
64900.0,9000.0,0.244,754.0,2.1,0
36200.0,7300.0,0.244,688.0,5.8,1
96000.0,23400.0,0.24,641.0,7.2,0
102700.0,54300.0,0.437,581.0,3.5,1
60600.0,31500.0,0.204,655.0,8.0,0
56300.0,31900.0,0.253,,5.8,0
58600.0,17300.0,0.153,680.0,14.8,0
44100.0,4800.0,0.036,702.0,13.0,1
91100.0,37600.0,0.22,641.0,2.7,0
51300.0,28200.0,0.195,709.0,5.8,0
60900.0,9400.0,0.218,671.0,19.8,0
47000.0,24200.0,0.153,730.0,5.8,0
49800.0,5000.0,0.205,695.0,5.9,0
39600.0,18500.0,0.357,724.0,6.4,0
96300.0,33400.0,0.176,680.0,6.4,0
58700.0,32500.0,0.077,654.0,5.4,0
86900.0,46700.0,0.133,747.0,1.9,0
62300.0,7700.0,0.128,622.0,3.6,0
48600.0,17000.0,0.408,718.0,8.1,0
55300.0,12200.0,0.167,,6.0,0
51000.0,16300.0,0.12,680.0,8.7,0
62200.0,8300.0,0.365,696.0,8.1,0
54400.0,15200.0,0.31,651.0,4.2,1
55800.0,17000.0,0.411,623.0,3.6,1
38300.0,3900.0,0.23,628.0,3.1,1
46700.0,15800.0,0.208,617.0,8.6,1
110600.0,60500.0,0.321,682.0,4.8,0
49000.0,6400.0,0.072,698.0,5.4,0
42900.0,24600.0,0.378,676.0,9.5,1
69800.0,24100.0,0.335,593.0,8.4,1
101500.0,20800.0,0.304,680.0,3.5,1
37300.0,21800.0,0.177,,6.6,0
57600.0,19400.0,0.321,616.0,2.7,1
49700.0,15800.0,0.371,630.0,1.4,1
33500.0,9700.0,0.166,732.0,2.2,0
80200.0,43400.0,0.167,671.0,6.3,0
61500.0,10100.0,0.09,741.0,14.7,0
63600.0,13100.0,0.172,,0.8,0
47600.0,11500.0,0.204,600.0,13.5,0
72700.0,9500.0,0.204,678.0,6.8,0
51300.0,26800.0,0.157,677.0,1.4,0
59000.0,20300.0,0.216,697.0,4.6,1
42100.0,16900.0,0.088,633.0,6.7,0
40500.0,22000.0,0.096,655.0,4.5,1
98900.0,34400.0,0.126,794.0,4.7,0
51900.0,12400.0,0.189,649.0,0.3,0
68700.0,25100.0,0.035,769.0,6.7,0
61300.0,21500.0,0.156,617.0,4.7,1
53100.0,13200.0,0.244,693.0,3.5,0
51900.0,11200.0,0.124,701.0,3.9,0
77300.0,21600.0,0.083,729.0,4.5,0
55800.0,26100.0,0.239,680.0,3.4,0
58800.0,10700.0,0.129,644.0,7.1,0
62500.0,37400.0,0.093,686.0,18.3,0
93600.0,20400.0,0.162,597.0,16.9,0
78700.0,18600.0,0.312,541.0,6.3,1
70900.0,11400.0,0.179,594.0,6.8,0
50900.0,15100.0,0.317,768.0,3.9,0
38200.0,10900.0,0.21,727.0,2.2,0
86400.0,38100.0,0.284,784.0,9.5,0
87000.0,47700.0,0.349,708.0,14.9,0
59000.0,13200.0,0.305,598.0,10.5,0
74900.0,37800.0,0.188,625.0,0.6,1
81500.0,20700.0,0.439,,1.7,0
82900.0,25100.0,0.308,634.0,3.6,1
85600.0,14100.0,0.209,627.0,3.8,1
52900.0,28900.0,0.18,620.0,0.9,0
105400.0,30200.0,0.214,638.0,2.3,0
40100.0,18100.0,0.293,574.0,2.8,1
83800.0,9500.0,0.237,704.0,7.4,0
73700.0,33100.0,0.19,640.0,2.4,0
84200.0,17900.0,0.206,751.0,4.4,0
119700.0,39000.0,0.263,773.0,2.1,0
104200.0,45500.0,0.128,,7.9,0
41500.0,7700.0,0.367,739.0,10.6,1
34300.0,12500.0,0.103,742.0,0.7,0
82500.0,42700.0,0.259,692.0,5.4,0
43500.0,7900.0,0.291,670.0,7.7,0
61700.0,20600.0,0.26,752.0,16.0,1
83200.0,16000.0,0.349,,4.3,1
34900.0,6000.0,0.298,670.0,8.1,0
29600.0,10200.0,0.275,652.0,8.7,0
67900.0,22300.0,0.331,681.0,3.1,1
63000.0,26600.0,0.388,733.0,2.4,0
56900.0,30100.0,0.465,719.0,2.2,1
62800.0,28500.0,0.235,647.0,1.3,0
45900.0,12300.0,0.097,672.0,4.5,0
36500.0,12500.0,0.043,690.0,3.4,0
58500.0,25600.0,0.215,,3.1,0
44100.0,22900.0,0.185,676.0,5.1,0
34900.0,15400.0,0.41,626.0,5.2,1
74000.0,26000.0,0.204,635.0,1.3,0
60700.0,10100.0,0.258,696.0,2.3,0
71500.0,38200.0,0.349,694.0,1.9,0
43900.0,10600.0,0.13,663.0,1.2,0
49200.0,14900.0,0.079,801.0,10.9,0
43700.0,23700.0,0.199,671.0,5.4,0
45500.0,9300.0,0.279,719.0,4.9,0
66400.0,37000.0,0.127,696.0,9.6,0
47100.0,10100.0,0.237,,3.1,0
70200.0,10100.0,0.242,718.0,1.0,1
69800.0,24900.0,0.057,741.0,5.9,0
126000.0,62700.0,0.109,681.0,3.0,0
38100.0,11500.0,0.125,708.0,10.2,0
84600.0,44100.0,0.265,838.0,6.7,0
60100.0,17900.0,0.152,632.0,1.9,1
61700.0,31300.0,0.369,669.0,1.0,1
37300.0,5800.0,0.136,712.0,10.1,0
52800.0,12800.0,0.143,,8.4,0
80400.0,13000.0,0.13,636.0,0.9,0
60200.0,28300.0,0.342,654.0,7.4,0
63800.0,21400.0,0.195,668.0,2.9,0
56000.0,24000.0,0.136,666.0,6.7,0
92900.0,20400.0,0.312,684.0,4.5,0
61500.0,28700.0,0.149,769.0,1.4,0
28700.0,17100.0,0.366,693.0,2.4,0
48700.0,6800.0,0.129,660.0,12.8,0
31100.0,8100.0,0.251,719.0,1.1,0
19900.0,10600.0,0.333,717.0,3.8,0
51500.0,27100.0,0.239,622.0,4.3,0
98900.0,53000.0,0.095,647.0,1.7,1
63000.0,13400.0,0.091,620.0,4.1,0
41100.0,15700.0,0.288,699.0,6.8,0
44600.0,6400.0,0.27,728.0,2.7,0
92100.0,29100.0,0.039,669.0,7.3,0
65500.0,25400.0,0.129,749.0,0.5,0
63100.0,14500.0,0.158,649.0,5.2,0
60900.0,18900.0,0.281,663.0,6.1,0
62800.0,17800.0,0.114,677.0,4.1,0
82200.0,11700.0,0.245,680.0,3.1,0
75200.0,10100.0,0.155,773.0,9.1,0
66900.0,32800.0,0.346,620.0,4.2,1
43000.0,4400.0,0.26,712.0,16.0,0
74100.0,43900.0,0.281,685.0,2.6,1
48800.0,26800.0,0.235,746.0,2.0,0
90900.0,54000.0,0.193,608.0,5.0,1
39700.0,19600.0,0.166,617.0,3.2,0
59100.0,6000.0,0.21,775.0,9.7,0
61800.0,9800.0,0.376,750.0,0.7,0
39000.0,10100.0,0.258,741.0,9.7,0
113300.0,21600.0,0.178,674.0,6.8,0
103400.0,13500.0,0.074,740.0,8.0,0
52700.0,29400.0,0.229,682.0,3.4,1
81200.0,45100.0,0.231,621.0,9.0,1
70800.0,34200.0,0.303,674.0,6.6,0
24800.0,5600.0,0.35,667.0,0.8,0
67700.0,35600.0,0.078,624.0,2.4,0
60700.0,30900.0,0.238,650.0,4.4,0
63800.0,16700.0,0.051,643.0,2.4,0
42500.0,7000.0,0.086,710.0,9.0,0
56400.0,9500.0,0.257,735.0,3.7,0
58200.0,17700.0,0.212,743.0,6.7,0
94000.0,48500.0,0.217,741.0,8.3,1
69700.0,9600.0,0.073,622.0,5.3,1
61900.0,19500.0,0.199,713.0,2.9,0
105900.0,29400.0,0.467,726.0,1.2,0
51000.0,27900.0,0.27,704.0,3.2,0
54100.0,9500.0,0.11,629.0,4.0,0
32800.0,14000.0,0.256,521.0,2.5,0
107400.0,28100.0,0.112,690.0,2.7,0
86900.0,36800.0,0.279,635.0,5.2,1
85500.0,43700.0,0.211,730.0,2.3,0
78400.0,40200.0,0.148,600.0,15.7,0
64400.0,33700.0,0.327,711.0,8.4,0
66900.0,16500.0,0.165,657.0,3.7,0
56800.0,13500.0,0.322,608.0,2.8,0
57700.0,9300.0,0.28,656.0,4.2,0
63200.0,14400.0,0.14,673.0,17.5,0
105200.0,16800.0,0.2,727.0,7.2,0
75300.0,37000.0,0.182,725.0,0.7,0
60700.0,7500.0,0.264,749.0,8.4,1
50600.0,9900.0,0.215,680.0,3.6,0
49600.0,24600.0,0.24,656.0,1.7,0
108600.0,52600.0,0.258,657.0,10.0,0
74000.0,43400.0,0.11,690.0,2.8,0
63500.0,18500.0,0.3,662.0,4.7,0
54900.0,6700.0,0.098,590.0,3.9,0
42100.0,21200.0,0.283,567.0,1.1,0
60600.0,14700.0,0.122,723.0,1.7,1
84200.0,41000.0,0.15,687.0,23.0,0
54000.0,5900.0,0.155,789.0,13.6,0
57300.0,6700.0,0.19,653.0,3.6,1
57400.0,22900.0,0.106,738.0,6.8,0
64400.0,28500.0,0.208,689.0,11.5,1
35500.0,13500.0,0.116,708.0,3.1,0
57100.0,20900.0,0.22,685.0,6.8,0
46000.0,18300.0,0.274,742.0,6.8,0
84500.0,14000.0,0.054,709.0,2.4,0
47300.0,6200.0,0.29,655.0,2.4,0
75900.0,20800.0,0.21,675.0,4.9,0
105700.0,39500.0,0.275,668.0,1.5,0
55600.0,12500.0,0.366,685.0,5.0,0
50200.0,9500.0,0.166,693.0,8.1,0
66300.0,21400.0,0.243,657.0,4.1,1
62000.0,18900.0,0.05,649.0,4.6,0
43800.0,10300.0,0.295,680.0,2.9,0
72900.0,41100.0,0.099,583.0,11.0,0
125500.0,71700.0,0.189,703.0,5.9,0
56600.0,7000.0,0.36,701.0,5.3,0
57800.0,19700.0,0.353,510.0,4.7,1
43000.0,9400.0,0.106,620.0,7.1,0
69300.0,18600.0,0.065,679.0,1.6,0
40100.0,4600.0,0.167,557.0,9.3,0
42100.0,5900.0,0.122,705.0,1.8,0
97000.0,11300.0,0.186,735.0,2.9,0
45200.0,7400.0,0.204,707.0,1.5,0
90500.0,38400.0,0.334,732.0,15.9,0
105700.0,14700.0,0.288,675.0,4.7,1
67900.0,36900.0,0.109,728.0,3.6,0
75300.0,37700.0,0.122,719.0,6.0,0
122800.0,28800.0,0.128,673.0,6.9,0
57900.0,25800.0,0.217,685.0,2.3,1
50400.0,29000.0,0.212,589.0,14.2,1
38600.0,6100.0,0.133,606.0,4.4,0
62900.0,23900.0,0.149,736.0,2.6,0
104000.0,34600.0,0.032,738.0,2.0,0
86700.0,22100.0,0.145,635.0,4.0,0
44600.0,10900.0,0.175,596.0,12.3,0
46000.0,6600.0,0.239,571.0,9.1,0
52000.0,22000.0,0.201,744.0,6.8,0
68700.0,13700.0,0.146,699.0,4.1,1
57700.0,18000.0,0.227,786.0,8.3,0
66800.0,37700.0,0.101,750.0,7.2,0
68800.0,18900.0,0.09,792.0,1.7,0
55800.0,14400.0,0.257,,1.5,0
61100.0,34600.0,0.166,649.0,4.1,0
66600.0,26100.0,0.461,662.0,12.9,1
60200.0,23200.0,0.052,741.0,4.0,0
73900.0,15600.0,0.175,602.0,6.5,0
119300.0,50200.0,0.232,712.0,1.4,0
76300.0,22100.0,0.39,657.0,16.3,0
63200.0,23500.0,0.118,751.0,7.2,0
34400.0,10300.0,0.171,649.0,2.6,0
71000.0,10000.0,0.443,640.0,0.4,1
31400.0,16900.0,0.426,,4.9,1
37900.0,16900.0,0.038,503.0,2.8,0
83600.0,48400.0,0.337,739.0,6.5,0
79400.0,20100.0,0.11,696.0,2.2,0
58800.0,14200.0,0.361,647.0,5.6,1
34100.0,5700.0,0.245,717.0,4.2,0
54400.0,13800.0,0.39,653.0,0.8,1
48900.0,12800.0,0.112,715.0,5.7,0
77500.0,14900.0,0.181,685.0,7.9,0
136600.0,31700.0,0.218,,3.5,0
66900.0,16500.0,0.169,627.0,11.9,0
47200.0,25000.0,0.238,643.0,10.5,0
41200.0,13300.0,0.276,782.0,3.4,0
60800.0,31000.0,0.142,697.0,4.3,1
58300.0,7300.0,0.107,,15.4,0
41400.0,8000.0,0.326,630.0,7.1,1
64600.0,37200.0,0.158,651.0,1.9,0
41400.0,5200.0,0.277,693.0,4.2,0
91500.0,12300.0,0.232,613.0,2.5,0
89900.0,32300.0,0.103,677.0,3.7,0
90600.0,22200.0,0.506,666.0,0.3,1
52500.0,10300.0,0.035,572.0,12.2,1
74200.0,30000.0,0.106,680.0,3.2,0
59200.0,23900.0,0.133,747.0,7.3,1
54100.0,10500.0,0.177,656.0,14.9,0
55100.0,20400.0,0.357,668.0,4.6,1
39300.0,12900.0,0.048,694.0,12.2,0
37400.0,19600.0,0.078,646.0,7.0,0
81900.0,11000.0,0.067,583.0,17.0,0
58000.0,12600.0,0.227,681.0,2.1,0
66900.0,25600.0,0.344,655.0,6.5,0
88000.0,10300.0,0.21,644.0,0.3,0
33800.0,17700.0,0.195,756.0,12.1,1
47100.0,27500.0,0.082,686.0,2.5,0
65900.0,17400.0,0.201,639.0,2.2,1
71100.0,34700.0,0.165,642.0,5.1,1
54300.0,12200.0,0.305,768.0,14.3,1
88900.0,51000.0,0.219,724.0,7.0,1
66700.0,13700.0,0.125,582.0,14.1,0
40500.0,4200.0,0.186,713.0,6.8,0
44800.0,6000.0,0.205,652.0,7.1,0
82200.0,27100.0,0.328,647.0,4.1,0
72900.0,8700.0,0.227,742.0,12.5,0
31900.0,18800.0,0.252,719.0,7.4,0
99400.0,41300.0,0.255,633.0,5.0,0
76400.0,29400.0,0.329,679.0,3.8,1
99200.0,41000.0,0.33,715.0,10.9,1
54200.0,16800.0,0.267,673.0,3.5,0
55900.0,30300.0,0.068,703.0,6.9,0
41800.0,19100.0,0.26,641.0,2.5,0
150700.0,47500.0,0.296,751.0,9.8,0
58300.0,14100.0,0.193,760.0,8.6,0
108100.0,18600.0,0.132,643.0,2.9,1
49400.0,12700.0,0.238,601.0,9.1,0
65700.0,18200.0,0.091,654.0,0.3,0
34500.0,4800.0,0.44,728.0,2.3,0
54200.0,30500.0,0.134,,9.9,0
87500.0,20000.0,0.188,677.0,1.9,0
40000.0,14800.0,0.424,690.0,8.9,1
90200.0,12000.0,0.273,598.0,2.3,1
69800.0,26200.0,0.128,677.0,0.8,0
43000.0,18200.0,0.187,674.0,4.5,0
52000.0,7300.0,0.217,645.0,2.6,0
52800.0,31000.0,0.287,723.0,9.7,0
60900.0,11100.0,0.098,644.0,10.1,0
51400.0,11900.0,0.315,644.0,3.4,0
46400.0,21700.0,0.33,718.0,4.9,1
55700.0,14900.0,0.115,715.0,11.9,0
43300.0,23300.0,0.11,684.0,14.2,0
39500.0,8700.0,0.264,693.0,2.1,0
61000.0,15700.0,0.116,701.0,1.3,0
84400.0,37700.0,0.209,698.0,13.6,0
36300.0,19200.0,0.252,626.0,14.6,0
62100.0,33700.0,0.259,726.0,0.7,0
49400.0,12100.0,0.262,791.0,2.5,0
44000.0,16100.0,0.145,,3.7,0
83600.0,25500.0,0.302,665.0,2.0,0
51700.0,22600.0,0.056,745.0,10.0,0
104700.0,22400.0,0.056,715.0,6.2,0
47200.0,24500.0,0.187,639.0,4.3,0
71000.0,32400.0,0.279,675.0,10.5,0
57300.0,10700.0,0.151,648.0,7.9,0
47600.0,12200.0,0.335,737.0,8.1,0
76200.0,20400.0,0.181,607.0,4.4,0
58700.0,33200.0,0.212,749.0,2.0,0
76600.0,25100.0,0.043,643.0,15.6,0
61000.0,24900.0,0.111,696.0,3.9,0
42400.0,24000.0,0.195,656.0,2.3,1
59800.0,17800.0,0.088,,4.4,0
63100.0,36200.0,0.245,744.0,1.7,0
86700.0,21300.0,0.11,715.0,1.6,0
45100.0,4800.0,0.307,613.0,5.7,0
61200.0,9300.0,0.143,666.0,0.6,0
33900.0,15100.0,0.207,687.0,4.9,0
77900.0,22600.0,0.244,784.0,4.4,0
42500.0,22000.0,0.183,652.0,4.8,1
32900.0,12100.0,0.207,658.0,13.9,0
60700.0,26900.0,0.205,637.0,3.0,0
91300.0,25200.0,0.221,677.0,4.0,0
36400.0,14300.0,0.053,716.0,4.7,0
42400.0,19000.0,0.078,625.0,1.5,0
47800.0,13800.0,0.244,758.0,4.5,0
41800.0,14400.0,0.422,750.0,14.0,0
70800.0,36900.0,0.131,724.0,4.6,0
46700.0,26400.0,0.274,714.0,3.2,1
48200.0,13300.0,0.086,815.0,12.5,0
76000.0,10100.0,0.057,621.0,3.6,0
47600.0,24800.0,0.423,650.0,1.2,1
72100.0,23300.0,0.094,799.0,6.4,0
44100.0,25800.0,0.332,612.0,16.0,1
40600.0,19500.0,0.148,697.0,6.1,0
32600.0,9300.0,0.103,671.0,5.2,0
118900.0,62400.0,0.14,628.0,3.9,0
55400.0,20700.0,0.172,628.0,3.9,0
67500.0,30800.0,0.204,668.0,2.1,0
61300.0,33300.0,0.203,695.0,8.0,0
65600.0,25600.0,0.405,707.0,2.7,0
63100.0,36200.0,0.314,713.0,8.0,0
120900.0,36200.0,0.2,684.0,4.8,0
43100.0,12500.0,0.349,682.0,1.7,0
35900.0,15100.0,0.237,680.0,9.1,0
43500.0,13200.0,0.178,645.0,6.5,0
38900.0,17600.0,0.086,606.0,3.4,0
80500.0,29400.0,0.277,726.0,15.0,0
82600.0,38900.0,0.097,565.0,7.4,0
44300.0,22700.0,0.26,,6.3,0
38100.0,14600.0,0.157,751.0,2.5,0
54800.0,30500.0,0.335,611.0,4.6,1
100900.0,49500.0,0.069,557.0,5.7,0
23100.0,12200.0,0.241,633.0,9.9,0
74500.0,8200.0,0.267,697.0,10.0,0
42500.0,4600.0,0.14,626.0,8.6,0
89200.0,37200.0,0.271,737.0,2.6,0
42500.0,11300.0,0.072,715.0,1.4,0
56100.0,30100.0,0.212,625.0,3.9,0
36600.0,10800.0,0.222,,5.6,0
44000.0,20800.0,0.142,680.0,3.8,1
100700.0,22500.0,0.133,655.0,3.5,0
82600.0,34300.0,0.06,692.0,4.4,0
53900.0,29700.0,0.236,753.0,10.1,1
45700.0,24300.0,0.108,724.0,2.6,0
32000.0,9100.0,0.48,763.0,3.3,1
54000.0,18400.0,0.2,600.0,5.9,0
61300.0,22500.0,0.286,850.0,5.7,0
60200.0,16400.0,0.376,631.0,8.6,1
60000.0,20500.0,0.152,680.0,5.4,0
41900.0,24400.0,0.176,767.0,1.1,0
60600.0,32700.0,0.139,708.0,3.2,0
61200.0,15700.0,0.223,747.0,1.2,0
97400.0,43000.0,0.383,612.0,3.0,1
119200.0,68400.0,0.196,617.0,8.2,0
59100.0,16600.0,0.284,655.0,9.0,0
47400.0,24800.0,0.404,648.0,4.6,1
60600.0,30200.0,0.276,,4.5,0
50100.0,27200.0,0.35,662.0,20.8,1
47800.0,6800.0,0.092,615.0,4.6,0
60700.0,34100.0,0.084,692.0,4.1,0
43000.0,25400.0,0.156,602.0,6.1,0
76700.0,16900.0,0.227,641.0,6.0,0
59800.0,24900.0,0.126,697.0,2.2,0
67700.0,9800.0,0.193,630.0,12.0,0
58200.0,23300.0,0.08,679.0,6.3,0
48100.0,21900.0,0.211,716.0,7.0,0
44500.0,21000.0,0.158,762.0,8.9,0
57100.0,30200.0,0.434,747.0,1.9,1
51200.0,12600.0,0.224,729.0,1.1,0
67300.0,10600.0,0.213,707.0,4.2,0
61900.0,31500.0,0.357,680.0,1.4,1
38500.0,4300.0,0.115,632.0,7.6,0
63500.0,13800.0,0.138,631.0,1.5,0
38800.0,8500.0,0.105,649.0,3.3,0
50000.0,24400.0,0.194,672.0,2.4,0
55900.0,17900.0,0.246,627.0,8.8,0
30000.0,15600.0,0.289,655.0,11.9,0
64000.0,27800.0,0.128,742.0,2.7,0
65400.0,34100.0,0.196,655.0,4.0,0
58700.0,28900.0,0.138,572.0,1.9,0
53400.0,28800.0,0.065,664.0,2.5,0
54400.0,13000.0,0.089,671.0,2.6,0
44100.0,12200.0,0.243,,3.6,0
56400.0,23400.0,0.319,798.0,14.7,0
51100.0,20000.0,0.119,731.0,13.1,0
64000.0,31300.0,0.23,774.0,0.4,0
40700.0,20500.0,0.248,645.0,1.2,0
67300.0,17000.0,0.12,722.0,3.1,0
65200.0,10500.0,0.197,693.0,12.1,0
59000.0,27800.0,0.147,674.0,2.0,0
53200.0,23600.0,0.027,633.0,2.3,0
75200.0,17900.0,0.374,691.0,9.5,0
34600.0,4400.0,0.125,572.0,8.0,0
72800.0,8100.0,0.303,732.0,6.2,0
67500.0,15100.0,0.127,834.0,3.0,0
68500.0,16200.0,0.23,762.0,5.5,0
70900.0,14400.0,0.209,563.0,7.2,0
49300.0,6200.0,0.31,690.0,2.9,1
56600.0,10500.0,0.138,637.0,5.2,0
77500.0,21300.0,0.335,645.0,1.3,1
72100.0,10500.0,0.381,664.0,4.8,0
66700.0,13600.0,0.08,680.0,3.1,0
36500.0,11600.0,0.099,719.0,2.2,1
74800.0,39200.0,0.24,632.0,8.7,0
93400.0,50000.0,0.129,710.0,3.9,0
88300.0,26700.0,0.208,687.0,2.6,0
67300.0,11000.0,0.203,792.0,3.1,0
35900.0,8400.0,0.171,597.0,3.8,1
86200.0,37700.0,0.254,672.0,5.6,0
58900.0,17900.0,0.032,626.0,3.1,0
25600.0,9900.0,0.145,677.0,7.3,0
70800.0,33200.0,0.129,566.0,7.7,0
36800.0,15800.0,0.225,627.0,5.2,1
39400.0,20900.0,0.048,,1.9,0
49600.0,7100.0,0.206,645.0,2.1,0
96800.0,24000.0,0.25,630.0,4.2,0
54500.0,6400.0,0.322,672.0,3.5,1
68200.0,24600.0,0.103,647.0,16.1,0
114300.0,46600.0,0.13,627.0,3.1,0
108300.0,24600.0,0.154,665.0,10.4,0
59800.0,7600.0,0.255,680.0,1.5,1
